Id,Action
1,2.57E-24
2,1
3,1
4,1
5,1
6,1
7,0.999999998
8,1
9,0.004765074
10,0.999994197
11,1
12,0.997715487
13,1
14,0.198527193
15,0.999999998
16,0.996425372
17,0.953998588
18,1
19,1
20,1
21,1
22,1
23,0.999999862
24,0.999410772
25,0.999919779
26,0.999999986
27,0.992083494
28,2.67E-13
29,1
30,0.004258056
31,1
32,0.994655424
33,0.999999999
34,0.999999242
35,0.999999977
36,1
37,0.999999789
38,0.999999987
39,0.771138805
40,0.807979549
41,1
42,1
43,1
44,0.999999998
45,0.999979814
46,1
47,1
48,1
49,1
50,0.998053107
51,0.999810975
52,1
53,1
54,1
55,0.07435087
56,6.20E-12
57,1
58,1
59,1
60,1
61,1
62,0.841068412
63,1
64,1
65,0.999999988
66,1
67,0.050934174
68,0.99999514
69,0.999970621
70,8.77E-04
71,0.842651542
72,1
73,1
74,1
75,1
76,1
77,1
78,1.16E-07
79,2.19E-19
80,1
81,1
82,1
83,1
84,1
85,0.999999842
86,0.004006059
87,1
88,1
89,1
90,1
91,0.999933273
92,0.99999954
93,1
94,0.725966598
95,1
96,1
97,0.175434812
98,1
99,1
100,1
101,0.999999004
102,1.06E-08
103,1
104,0.999999269
105,1.78E-04
106,1
107,1
108,0.99999766
109,1
110,1
111,0.949011187
112,0.999999993
113,1
114,1
115,1
116,0.999999989
117,0.999999957
118,1
119,1
120,0.996605289
121,1
122,0.999999998
123,0.4370746
124,0.999176967
125,1
126,0.954658451
127,0.005752418
128,1
129,0.999999139
130,0.999999999
131,0.999999996
132,1
133,1
134,0.533893788
135,1
136,0.026371031
137,1
138,0.999999925
139,0.559303427
140,1
141,1
142,3.38E-09
143,1
144,1
145,1
146,4.00E-04
147,1
148,0.561365045
149,1
150,1
151,0.992558447
152,0.999998033
153,0.999999919
154,0.999995626
155,0.999742034
156,0.999999997
157,1
158,0.079415923
159,1
160,0.999988333
161,1.78E-11
162,0.999999996
163,0.999987644
164,0.999999965
165,1
166,1
167,0.999991652
168,1
169,1
170,1
171,0.999999894
172,0.997371316
173,1
174,0.999999993
175,0.999999997
176,1
177,0.999999999
178,1
179,1
180,1
181,6.13E-14
182,0.999999999
183,1
184,0.99810355
185,1
186,4.12E-12
187,1
188,1
189,1.30E-10
190,0.999973529
191,1
192,1
193,1
194,1
195,1
196,1
197,0.999999999
198,1
199,0.999999961
200,6.45E-23
201,1
202,1
203,0.471890487
204,0.999997799
205,1
206,0.999999982
207,1
208,1
209,0.026334794
210,0.994419872
211,0.999999787
212,0.999997916
213,1
214,0.999994556
215,1
216,0.999365676
217,1
218,1
219,1
220,1
221,5.97E-05
222,1
223,1
224,0.944465707
225,1
226,0.018628463
227,0.799887139
228,0.999982617
229,1
230,1
231,0.999996844
232,0.996467947
233,0.999999961
234,0.995522586
235,0.999999904
236,0.806434084
237,1
238,0.999998228
239,0.999998516
240,1
241,1
242,0.022407476
243,4.55E-11
244,1
245,0.999707333
246,1
247,0.856141511
248,0.999996721
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0.999999944
257,0.999897696
258,1
259,1
260,1
261,1
262,0.999998601
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0.5957002
273,1
274,0.047732911
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0.999980361
284,0.999995346
285,0.999990515
286,1
287,1
288,1
289,0.999999297
290,1
291,8.71E-09
292,0.999999816
293,1
294,0.999999186
295,1
296,8.35E-14
297,1.08E-20
298,1
299,7.48E-19
300,1
301,0.952604926
302,1
303,6.52E-09
304,1
305,1
306,1
307,0.999999842
308,1
309,0.999989636
310,0.99985505
311,0.99999989
312,0.999999853
313,1
314,0.999999997
315,1
316,0.997277523
317,0.991429034
318,0.999999998
319,1
320,1
321,1
322,3.70E-28
323,1
324,1
325,1
326,9.86E-11
327,0.997422081
328,1
329,1
330,1
331,1
332,0.999999941
333,1
334,0.152286684
335,1
336,1
337,1
338,1
339,0.99985336
340,1
341,0.997656942
342,1
343,0.999866056
344,1
345,1
346,1
347,0.197242608
348,0.992396267
349,1
350,1
351,0.971848437
352,1
353,1
354,0.010030025
355,1
356,1
357,0.865086147
358,0.999999997
359,0.999841103
360,0.999999758
361,0.998883831
362,0.999999263
363,1
364,6.02E-30
365,1
366,1
367,1
368,1
369,1
370,0.989166495
371,0.999892947
372,0.999999992
373,0.003350894
374,2.24E-14
375,0.999978908
376,1
377,2.23E-12
378,0.997116984
379,1
380,0.373503544
381,0.523086826
382,1
383,1
384,1
385,0.110350507
386,1
387,0.999999997
388,1
389,1
390,0.999999999
391,1
392,0.999999968
393,1
394,0.999999994
395,3.86E-04
396,1
397,1
398,1
399,0.999995412
400,1
401,1
402,1
403,0.999999999
404,1
405,1
406,0.057483006
407,0.999997259
408,1
409,0.999892947
410,0.999999999
411,1
412,0.091547569
413,0.344365276
414,1
415,1
416,0.999999985
417,1
418,0.997793463
419,0.026285937
420,1
421,1
422,1
423,1
424,0.095377586
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0.992047779
435,0.999999983
436,0.999999996
437,0.999875243
438,0.416614784
439,0.999999985
440,1.16E-07
441,1
442,1
443,0.999999996
444,1
445,0.00350303
446,0.999999999
447,0.976286331
448,1
449,1
450,0.94044518
451,0.001409273
452,7.49E-04
453,1
454,0.135723494
455,0.957275297
456,1
457,0.999996994
458,1
459,1
460,7.64E-08
461,2.90E-05
462,1
463,1
464,1
465,0.999999966
466,1
467,3.23E-04
468,0.99618036
469,1
470,1
471,0.973430073
472,1
473,1
474,0.999999181
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0.99999981
483,1
484,1
485,1
486,0.999997799
487,1
488,1
489,1
490,0.999997799
491,0.999999932
492,1
493,2.12E-04
494,0.999999965
495,0.999999913
496,1
497,0.999999978
498,1
499,0.999999993
500,1
501,1
502,0.853545252
503,0.999999998
504,0.999993486
505,1
506,1
507,1
508,0.999977517
509,1
510,5.89E-07
511,0.999999783
512,1
513,0.997443912
514,8.32E-04
515,1
516,0.999998355
517,1
518,0.999997222
519,0.999806264
520,1.07E-06
521,0.999997811
522,0.820318786
523,1
524,2.67E-36
525,0.993646154
526,1.07E-15
527,0.999999996
528,0.946850538
529,0.999998098
530,1
531,1
532,0.999999997
533,1
534,0.012487007
535,0.997288814
536,1
537,0.999867024
538,0.9995609
539,0.856141511
540,0.999627648
541,0.997943114
542,0.999888325
543,0.846501762
544,1
545,0.935092884
546,1
547,3.53E-12
548,5.40E-09
549,0.17437768
550,0.996665088
551,1
552,0.991313341
553,1
554,0.611915558
555,1
556,1
557,0.999977783
558,0.229743548
559,0.999999175
560,0.999565738
561,1
562,0.999999971
563,1
564,1
565,1
566,1
567,1
568,7.70E-07
569,1
570,1
571,4.98E-11
572,6.41E-07
573,2.74E-04
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,0.999998584
582,0.999999899
583,1
584,0.999966315
585,1
586,0.999999984
587,0.999919499
588,0.996824517
589,1
590,1
591,1
592,1
593,0.009819884
594,0.999999878
595,1
596,0.999999999
597,1
598,0.999595569
599,1
600,0.999989687
601,1
602,0.944465707
603,1
604,0.980285062
605,1
606,1
607,1
608,1
609,1
610,0.978069193
611,1
612,1
613,0.999999617
614,0.012024986
615,1
616,0.999999998
617,0.995788284
618,0.719802006
619,1
620,1
621,0.999999999
622,0.999987372
623,0.999999229
624,0.999987872
625,1
626,1
627,0.999999999
628,0.945252214
629,0.999999997
630,0.999999931
631,1
632,1
633,1
634,1
635,0.015647269
636,0.999999571
637,0.999999525
638,1
639,1
640,1
641,1
642,1
643,0.999999995
644,0.99999167
645,0.999928766
646,1
647,1
648,0.999815734
649,1
650,1
651,0.998589782
652,1
653,0.009896935
654,1
655,0.999823772
656,0.999999961
657,6.82E-05
658,0.99999865
659,1
660,0.999999935
661,1
662,1
663,0.999968025
664,0.999999762
665,0.002413642
666,0.9979515
667,0.282522846
668,1
669,0.090011361
670,0.030535383
671,0.444029195
672,0.783047817
673,4.69E-14
674,1
675,0.9999963
676,0.999996548
677,1
678,1
679,0.999997846
680,1
681,1
682,0.999820394
683,1
684,1
685,0.999788663
686,0.999999942
687,1
688,0.999999959
689,1
690,1
691,1
692,0.999936838
693,0.886884901
694,1
695,1
696,1
697,1
698,0.966412488
699,0.999989392
700,0.999841103
701,0.999999873
702,0.999999832
703,0.999964407
704,8.45E-10
705,0.999365676
706,0.011165036
707,0.999999898
708,1
709,1
710,0.999999961
711,0.416699403
712,1
713,1
714,1
715,0.999999636
716,3.49E-06
717,0.999999529
718,0.995788284
719,1
720,1
721,0.999999957
722,1
723,1
724,0.967310764
725,1
726,0.999999764
727,1
728,1
729,1
730,0.912888959
731,3.62E-04
732,1
733,1
734,0.999999987
735,1
736,0.973150654
737,0.999999993
738,1
739,1
740,1
741,0.999999999
742,0.999789526
743,1
744,0.999998785
745,0.999896252
746,0.999999999
747,0.99990152
748,1
749,1
750,1
751,1
752,1
753,0.999999842
754,1
755,1
756,1
757,1
758,1
759,0.999501471
760,0.999895212
761,1
762,0.999999998
763,0.970705573
764,1
765,1
766,0.998850266
767,0.999999267
768,1
769,1
770,0.999974763
771,1
772,0.999999859
773,0.999997975
774,0.999933424
775,0.999997814
776,3.26E-14
777,1
778,0.973319762
779,1
780,2.35E-11
781,0.003350894
782,1
783,1
784,1
785,0.999435553
786,0.999999998
787,0.999999999
788,1
789,1
790,0.999999661
791,1
792,1
793,2.16E-04
794,1
795,1
796,1.59E-06
797,1
798,1
799,1.03E-19
800,0.999998899
801,1
802,1
803,0.999904984
804,0.999983199
805,0.999637196
806,1
807,1.55E-05
808,1
809,0.812306412
810,1
811,1
812,1.78E-04
813,1
814,0.997793463
815,0.022407476
816,1
817,1
818,1
819,1
820,1
821,0.999931336
822,0.999904232
823,1
824,1
825,1
826,0.999387166
827,1
828,1
829,0.99999987
830,1
831,0.992852314
832,1
833,1
834,1.27E-05
835,1
836,0.999932423
837,0.999999286
838,1
839,0.999087902
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,0.71307511
848,1
849,1
850,2.01E-13
851,1
852,0.999999998
853,0.999998479
854,1.47E-16
855,1
856,1
857,0.999999985
858,0.99999983
859,1
860,1
861,1
862,0.999978516
863,1
864,1
865,7.63E-05
866,1
867,1
868,0.999994583
869,1
870,0.870922256
871,1
872,0.999999118
873,0.999999996
874,1
875,1
876,0.999999998
877,1
878,0.977165257
879,1
880,0.999997799
881,1
882,1
883,1
884,0.984542091
885,0.99694409
886,1
887,0.76534958
888,1
889,0.99584292
890,1
891,5.61E-04
892,0.612820524
893,0.999982607
894,1
895,1
896,1
897,0.993180635
898,0.134282333
899,0.999841103
900,1
901,1
902,1
903,0.999987941
904,1
905,1
906,0.870922256
907,1
908,1
909,0.999968277
910,0.999989602
911,1
912,0.999999942
913,1
914,1
915,1
916,0.999999261
917,1
918,0.999575806
919,1
920,0.998659388
921,1
922,0.999999951
923,1
924,0.191512862
925,0.999999995
926,0.999999995
927,1
928,1
929,1
930,1
931,0.999999997
932,1
933,0.870922256
934,0.216039097
935,1
936,0.978798235
937,0.999999997
938,1
939,0.012024986
940,0.999999979
941,1
942,1
943,5.92E-10
944,1
945,0.999999786
946,0.999997875
947,1
948,7.22E-07
949,0.999992243
950,1
951,1
952,0.002863935
953,1
954,1
955,1
956,2.51E-09
957,1
958,0.999651057
959,0.974322817
960,6.01E-07
