Id,Action
1,0.22
2,1
3,0.96
4,1
5,1
6,1
7,1
8,1
9,0.13
10,1
11,0.77
12,1
13,1
14,0.33
15,0.81
16,1
17,0.76
18,0.25
19,1
20,0.62
21,1
22,1
23,0.99
24,1
25,1
26,1
27,0.65
28,0.84
29,0.76
30,1
31,1
32,1
33,1
34,0.8
35,1
36,1
37,1
38,1
39,0.76
40,0.51
41,0.55
42,1
43,0.78
44,0.75
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0.99
56,0.89
57,0.97
58,1
59,1
60,0.91
61,1
62,0.09
63,1
64,1
65,1
66,1
67,0.51
68,1
69,1
70,0
71,0.95
72,1
73,1
74,1
75,0.89
76,1
77,1
78,0.23
79,0.28
80,1
81,1
82,1
83,0.72
84,1
85,1
86,1
87,1
88,1
89,1
90,0.97
91,0.08
92,0.66
93,1
94,1
95,1
96,0.99
97,0.56
98,0.74
99,1
100,1
101,0.91
102,0.52
103,1
104,0.63
105,0
106,0.83
107,1
108,1
109,0.64
110,1
111,0.89
112,0.71
113,0.91
114,1
115,0.95
116,1
117,1
118,1
119,1
120,0.64
121,0.86
122,1
123,0.91
124,0.39
125,1
126,1
127,0.51
128,0.46
129,0.99
130,1
131,1
132,0.96
133,0.78
134,1
135,0.86
136,1
137,1
138,1
139,0
140,1
141,1
142,0.64
143,1
144,1
145,0.91
146,0.99
147,0.67
148,0.99
149,0.31
150,1
151,0.84
152,1
153,1
154,0.96
155,0.19
156,0.77
157,1
158,0.99
159,1
160,1
161,0
162,0.84
163,0.12
164,1
165,0.99
166,1
167,1
168,0.99
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0.54
178,1
179,1
180,0.67
181,0
182,1
183,1
184,0.59
185,1
186,0.65
187,0.67
188,1
189,0.6
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0.84
200,0.35
201,1
202,0.31
203,1
204,0.99
205,1
206,1
207,1
208,1
209,0.79
210,0.74
211,1
212,1
213,1
214,0.73
215,1
216,0.65
217,1
218,0.99
219,1
220,1
221,0.49
222,1
223,1
224,0.95
225,0.85
226,0.61
227,0
228,1
229,1
230,0.95
231,0.85
232,0.35
233,0.76
234,0.96
235,0.89
236,1
237,1
238,1
239,1
240,1
241,1
242,0.89
243,0.11
244,1
245,1
246,0.19
247,1
248,0.6
249,1
250,0.97
251,0.85
252,0.75
253,1
254,1
255,0.68
256,1
257,0.81
258,0.96
259,1
260,1
261,0.85
262,0.84
263,0.66
264,0.97
265,1
266,1
267,0.95
268,1
269,1
270,1
271,0.84
272,0.75
273,1
274,1
275,0.88
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0.03
284,1
285,1
286,0.89
287,1
288,0.64
289,1
290,1
291,0.69
292,1
293,0.41
294,0.53
295,0.51
296,0
297,0
298,0.89
299,0.43
300,1
301,0.17
302,1
303,0.94
304,0.71
305,1
306,0.54
307,1
308,1
309,1
310,0.43
311,0.63
312,0
313,1
314,1
315,1
316,1
317,0.45
318,1
319,1
320,1
321,1
322,0
323,1
324,0.86
325,1
326,1
327,0.44
328,0.91
329,1
330,1
331,1
332,1
333,1
334,0.91
335,1
336,1
337,1
338,0.97
339,1
340,0.81
341,0.97
342,1
343,0.19
344,1
345,0.79
346,1
347,0.89
348,0.96
349,1
350,0.96
351,0.51
352,1
353,1
354,0
355,1
356,1
357,0.93
358,1
359,1
360,1
361,0.84
362,0.58
363,1
364,0.84
365,0.36
366,1
367,1
368,1
369,1
370,0.81
371,1
372,1
373,1
374,0
375,0.36
376,1
377,0
378,0.76
379,1
380,0.88
381,0.91
382,1
383,1
384,1
385,1
386,0.97
387,1
388,1
389,1
390,1
391,0.78
392,0.85
393,0.84
394,1
395,0.81
396,1
397,0.91
398,0.64
399,0.58
400,1
401,1
402,1
403,0.97
404,1
405,1
406,0.96
407,1
408,1
409,1
410,1
411,1
412,0.72
413,0.36
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,0.36
423,0
424,0.39
425,0.93
426,1
427,1
428,1
429,0.91
430,1
431,1
432,0.77
433,1
434,1
435,1
436,1
437,1
438,0
439,1
440,0.23
441,1
442,1
443,0.87
444,1
445,0.9
446,1
447,0.31
448,1
449,1
450,1
451,0.11
452,0.88
453,1
454,0.7
455,1
456,0.95
457,1
458,1
459,1
460,0.66
461,0.17
462,1
463,1
464,1
465,1
466,1
467,0
468,0.46
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0.74
479,1
480,1
481,0.5
482,1
483,1
484,1
485,1
486,0.99
487,0.96
488,0.05
489,1
490,0.99
491,1
492,1
493,0.99
494,1
495,0.91
496,1
497,1
498,0.59
499,1
500,1
501,1
502,0.73
503,1
504,1
505,1
506,0.26
507,1
508,0.79
509,0.6
510,0.07
511,1
512,1
513,1
514,0.73
515,1
516,1
517,1
518,0.95
519,0.99
520,0.5
521,1
522,0.78
523,1
524,0.15
525,1
526,0.28
527,0.63
528,1
529,0.91
530,0.73
531,1
532,1
533,1
534,0.1
535,1
536,1
537,0.8
538,0.51
539,1
540,1
541,1
542,1
543,0.57
544,1
545,1
546,1
547,0
548,0.86
549,1
550,1
551,1
552,0.2
553,0.96
554,0
555,1
556,0.99
557,1
558,1
559,0.27
560,1
561,0.92
562,1
563,1
564,0.75
565,1
566,0.39
567,0.87
568,0.19
569,1
570,0.23
571,0
572,1
573,1
574,1
575,0.88
576,1
577,0.01
578,1
579,0.4
580,0.83
581,1
582,0.53
583,0.94
584,1
585,0.89
586,1
587,1
588,1
589,0.65
590,0.87
591,0.87
592,0.72
593,0.54
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0.95
603,1
604,1
605,0.75
606,1
607,1
608,0.65
609,1
610,0.99
611,1
612,0.41
613,1
614,0.95
615,1
616,0.6
617,0.92
618,0.63
619,1
620,0.69
621,1
622,1
623,1
624,1
625,0.75
626,0.92
627,0.48
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,0.58
636,1
637,0.72
638,1
639,0.75
640,0.97
641,0.99
642,0
643,1
644,0.68
645,0.83
646,0.75
647,0.91
648,0.34
649,0.93
650,1
651,1
652,1
653,0.28
654,0.53
655,1
656,0.84
657,1
658,1
659,0.24
660,0.3
661,1
662,0.4
663,1
664,1
665,0.84
666,0.19
667,0.88
668,1
669,1
670,0.41
671,1
672,0.81
673,0.38
674,1
675,1
676,1
677,0.28
678,1
679,1
680,0.6
681,0.33
682,0.22
683,0.54
684,0.4
685,0.75
686,0.82
687,1
688,1
689,1
690,1
691,1
692,0.51
693,0.72
694,0.67
695,0.93
696,1
697,1
698,0
699,1
700,1
701,0.66
702,1
703,0.85
704,0.6
705,0.65
706,1
707,0.25
708,1
709,1
710,0.93
711,0.64
712,1
713,1
714,1
715,1
716,0.29
717,1
718,0.92
719,0.84
720,0.54
721,1
722,1
723,1
724,0.47
725,1
726,0.7
727,1
728,1
729,0.75
730,1
731,1
732,1
733,0.84
