Id,Action
1,0.157464117
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0.670246176
10,1
11,1
12,1
13,1
14,0.965925656
15,0.860616622
16,1
17,1
18,0.927869298
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0.939998516
27,1
28,0.89096236
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0.971110715
39,0.919851645
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0.934813456
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0.91153123
68,1
69,0.418604287
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.199729325
79,0.308000503
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.994814941
91,1
92,0.670246176
93,1
94,0.86569199
95,1
96,1
97,0.580085448
98,1
99,1
100,1
101,0.994814941
102,0.697945699
103,1
104,1
105,0.478605772
106,0.860616622
107,1
108,1
109,1
110,1
111,0.782534399
112,0.894581275
113,0.939998516
114,1
115,0.983661932
116,1
117,1
118,1
119,1
120,0.934813456
121,0.860616622
122,1
123,1
124,0.81443292
125,1
126,0.766196331
127,0.867867813
128,0.808359596
129,1
130,1
131,1
132,1
133,1
134,0.956758583
135,1
136,0.922684238
137,1
138,1
139,0.994814941
140,1
141,1
142,0.898328518
143,1
144,1
145,1
146,1
147,1
148,0.844278554
149,1
150,1
151,1
152,0.849353922
153,1
154,1
155,1
156,0.855431563
157,1
158,1
159,0.668976218
160,1
161,0.588827863
162,0.860616622
163,1
164,1
165,1
166,1
167,0.956758583
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0.860616622
178,1
179,1
180,1
181,0.983661932
182,1
183,1
184,0.492696749
185,0.983661932
186,0.844168863
187,1
188,1
189,0.720888782
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0.382202656
201,1
202,1
203,1
204,1
205,1
206,0.939998516
207,1
208,1
209,0.653908108
210,0.668976218
211,0.956758583
212,1
213,1
214,1
215,1
216,0.598115474
217,1
218,0.939998516
219,1
220,1
221,0.834579791
222,1
223,1
224,0.971110715
225,1
226,0.435364354
227,0.971110715
228,1
229,1
230,1
231,0.860616622
232,0.530096336
233,1
234,0.293038692
235,0.919851645
236,0.670246176
237,1
238,1
239,0.817375205
240,1
241,0.670246176
242,0.939998516
243,0.190562252
244,1
245,1
246,1
247,1
248,1
249,0.994814941
250,1
251,1
252,0.610244691
253,1
254,1
255,1
256,0.860616622
257,0.956758583
258,1
259,0.983661932
260,1
261,1
262,1
263,0.971110715
264,1
265,1
266,1
267,1
268,0.956758583
269,0.994814941
270,1
271,1
272,0.971110715
273,1
274,0.153655314
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0.994814941
284,1
285,0.994814941
286,0.994814941
287,1
288,1
289,1
290,1
291,0.780468267
292,0.956758583
293,1
294,1
295,1
296,0.050412412
297,0.433378419
298,0.860616622
299,0.274457849
300,1
301,0.670246176
302,1
303,0.965925656
304,0.663446696
305,1
306,1
307,1
308,1
309,1
310,0.983661932
311,1
312,1
313,1
314,1
315,1
316,1
317,0.670246176
318,1
319,1
320,0.983661932
321,1
322,0.059579485
323,1
324,1
325,1
326,0.978476873
327,0.905924171
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0.994814941
340,1
341,0.808359596
342,1
343,1
344,1
345,1
346,1
347,0.994814941
348,0.971110715
349,1
350,1
351,0.919851645
352,1
353,1
354,0.670246176
355,0.971110715
356,1
357,0.918475388
358,1
359,0.965925656
360,0.808359596
361,1
362,1
363,1
364,0.90634617
365,1
366,1
367,1
368,1
369,1
370,1
